Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1,Run #1
Date and Time,Time (s),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N),Force Beam 1 (N),Force Beam 2 (N),Force Beam 3 (N),Force Beam 4 (N),Normal Force (N),Parallel Force (N)
2/20/2019 21:03,"0,136","65,09","94,31","5,42","80,84","245,66","29,39","106,57","86,49","27,39","84,32","304,76","-18,03"
2/20/2019 21:03,"0,137","65,37","94,22","5,58","80,73","245,91","29,60","106,79","86,40","27,17","84,42","304,79","-18,11"
2/20/2019 21:03,"0,138","65,15","94,44","5,72","80,71","246,02","29,73","106,79","86,38","27,12","84,48","304,76","-18,07"
2/20/2019 21:03,"0,139","65,20","94,31","5,50","80,60","245,61","29,47","106,43","86,29","27,36","84,34","304,43","-18,29"
2/20/2019 21:03,"0,140","65,15","94,50","5,70","80,93","246,27","29,56","106,57","86,32","27,23","84,63","304,75","-17,90"
2/20/2019 21:03,"0,141","65,42","94,31","5,72","81,06","246,52","29,60","106,54","86,10","27,14","84,56","304,34","-18,07"
2/20/2019 21:03,"0,142","65,20","94,42","5,78","81,09","246,49","29,47","106,60","86,24","27,09","84,37","304,29","-18,20"
2/20/2019 21:03,"0,143","65,53","94,33","5,75","81,04","246,65","29,47","106,65","86,10","27,20","84,37","304,32","-17,98"
2/20/2019 21:03,"0,144","65,26","94,20","5,50","81,09","246,05","29,78","106,57","86,21","27,17","84,56","304,51","-18,11"
2/20/2019 21:03,"0,145","65,37","94,64","5,75","81,12","246,87","29,60","106,79","86,16","27,09","84,48","304,51","-18,37"
2/20/2019 21:03,"0,146","65,42","94,47","5,61","81,09","246,60","29,39","106,76","86,21","27,20","84,29","304,46","-18,11"
2/20/2019 21:03,"0,147","65,40","94,55","5,56","80,98","246,49","29,47","106,62","85,97","27,12","84,53","304,23","-18,24"
2/20/2019 21:03,"0,148","65,37","94,39","5,34","80,82","245,91","29,73","106,57","85,88","27,25","84,32","304,02","-18,11"
2/20/2019 21:03,"0,149","65,40","94,61","5,53","81,12","246,65","29,69","106,68","86,02","26,84","84,63","304,18","-18,07"
2/20/2019 21:03,"0,150","65,37","94,64","5,56","81,04","246,60","29,73","106,71","86,13","27,09","84,48","304,40","-18,11"
2/20/2019 21:03,"0,151","65,23","94,42","5,50","81,04","246,19","29,39","106,79","85,99","27,06","84,56","304,40","-18,55"
2/20/2019 21:03,"0,152","65,09","94,80","5,45","81,12","246,46","29,73","106,79","85,69","26,87","84,50","303,85","-18,20"
2/20/2019 21:03,"0,153","65,31","94,61","5,78","80,87","246,57","29,65","106,90","85,69","26,90","84,48","303,97","-18,16"
2/20/2019 21:03,"0,154","65,53","94,69","5,67","81,39","247,28","29,78","106,76","85,86","26,95","84,58","304,15","-18,03"
2/20/2019 21:03,"0,155","65,51","94,44","5,64","81,09","246,68","29,65","106,79","85,80","26,98","84,56","304,12","-18,29"
2/20/2019 21:03,"0,156","65,51","94,66","5,67","81,12","246,96","29,60","106,65","85,75","26,87","84,63","303,90","-18,24"
2/20/2019 21:03,"0,157","65,53","94,75","5,61","81,31","247,20","29,52","106,79","85,55","26,90","84,48","303,72","-18,24"
2/20/2019 21:03,"0,158","65,45","94,58","5,67","81,28","246,98","29,47","106,90","85,50","26,79","84,56","303,74","-18,20"
2/20/2019 21:03,"0,159","65,48","94,66","5,64","81,17","246,96","29,78","106,85","85,55","26,62","84,77","303,79","-18,37"
2/20/2019 21:03,"0,160","65,53","94,58","5,78","81,25","247,15","29,78","106,79","85,55","26,68","84,63","303,66","-18,24"
2/20/2019 21:03,"0,161","65,51","94,61","5,86","81,42","247,40","29,78","107,10","85,58","26,73","84,42","303,83","-18,11"
2/20/2019 21:03,"0,162","65,51","94,50","5,50","81,34","246,84","29,65","106,79","85,66","26,87","84,66","303,98","-18,07"
2/20/2019 21:03,"0,163","65,56","94,66","5,70","81,39","247,31","29,39","107,07","85,61","26,73","84,45","303,86","-18,11"
2/20/2019 21:03,"0,164","65,59","94,66","5,70","81,36","247,31","29,91","106,85","85,31","26,62","84,63","303,41","-18,20"
2/20/2019 21:03,"0,165","65,62","94,58","5,61","81,31","247,12","29,47","106,79","85,50","26,57","84,66","303,52","-17,90"
2/20/2019 21:03,"0,166","65,31","94,75","5,56","81,55","247,17","29,95","106,87","85,33","26,73","84,66","303,60","-18,29"
2/20/2019 21:03,"0,167","65,64","94,75","5,70","81,34","247,42","29,91","107,15","85,25","26,68","84,82","303,90","-18,11"
2/20/2019 21:03,"0,168","65,75","94,66","5,36","81,17","246,95","29,86","107,07","85,39","26,51","84,74","303,71","-18,29"
2/20/2019 21:03,"0,169","65,62","94,64","5,70","81,42","247,37","29,91","107,01","85,17","26,73","84,56","303,47","-18,29"
2/20/2019 21:03,"0,170","65,53","94,83","5,64","81,47","247,48","29,56","106,90","85,00","26,40","84,63","302,94","-18,07"
2/20/2019 21:03,"0,171","65,53","94,80","5,61","81,45","247,39","29,65","107,12","85,03","26,73","84,66","303,55","-18,29"
2/20/2019 21:03,"0,172","65,53","94,64","5,53","81,28","246,98","29,78","107,01","84,81","26,57","84,69","303,08","-18,33"
2/20/2019 21:03,"0,173","65,51","94,72","5,58","81,47","247,28","29,78","106,93","84,76","26,60","84,74","303,02","-18,29"
2/20/2019 21:03,"0,174","65,70","94,53","5,56","81,50","247,28","29,82","107,04","84,84","26,29","84,77","302,94","-18,24"
2/20/2019 21:03,"0,175","65,53","94,66","5,61","81,47","247,28","29,73","107,23","84,78","26,35","84,79","303,16","-18,07"
2/20/2019 21:03,"0,176","65,84","94,55","5,47","81,64","247,50","29,95","107,15","84,73","26,51","84,69","303,08","-18,11"
2/20/2019 21:03,"0,177","65,75","94,61","5,61","81,39","247,37","29,69","107,43","84,78","26,29","85,03","303,54","-18,42"
2/20/2019 21:03,"0,178","65,92","94,83","5,50","81,47","247,72","29,73","107,37","84,59","26,02","84,82","302,81","-18,33"
