Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N),Normal Force (N)
-0.1,0.85,-0.57,0.42,377.32,397.78,-5.87,-4.54
-0.18,0.82,-0.51,-0.12,379.55,396.22,-5.36,-3.15
-0.02,1.02,-0.6,-0.01,385.42,395.56,-4.74,-1.73
0.17,1.09,-0.33,0.31,390.49,396.19,-1.81,-0.46
0.2,1.56,-0.16,-0.01,393.71,395.84,1.89,1.79
0.01,1.2,-0.28,0.23,393.61,395.28,5.05,4.53
0.33,1.15,-0.25,0.34,389.99,394.27,7.02,4.99
-0.44,1.15,-0.01,0.26,384.78,392.8,8.16,5.81
-0.24,0.72,0.1,0.1,381.98,391.58,7.54,6.81
0,1.1,-0.19,0.47,382.09,390.82,6.26,5.64
0.47,1.01,-0.09,0.18,386.06,389.73,4.86,3.36
0.22,1.34,-0.33,0.15,389.85,389.62,2.69,0.83
0.09,0.93,-0.28,-0.12,391.79,389.34,0.82,-0.47
-0.1,1.07,0.13,0.02,391.41,388.09,-0.58,-3.25
-0.12,0.63,0.07,0.53,389.36,387.66,-2.14,-3.94
-0.26,0.83,0.32,0.54,387.74,386.44,-2.55,-4.79
-0.36,1.45,-0.04,0.34,386.33,385.02,-3.22,-5.14
-0.2,0.9,0.1,0.42,385.82,384.01,-3.49,-4.18
0.6,1.15,0.04,0.01,385.44,383.43,-3.98,-3.06
-0.13,0.88,0.08,0.42,384.84,382.26,-2.93,-1.75
-0.15,0.77,-0.34,0.45,383.58,381.37,-2.25,1.15
-0.02,0.66,-0.06,-0.04,380.03,380.17,-1.34,2.6
-0.13,1.2,0.23,0.16,376.06,379.08,0.57,3.86
-0.04,1.34,0.02,0.21,372.44,378.15,1.33,5.62
0.09,0.72,-0.55,0.72,367.43,377.35,1.92,6.31
-0.07,1.07,-0.55,0.39,364.34,376.12,1.47,6.52
0.01,1.07,-0.44,0.85,362.27,374.87,0.8,6.41
-0.82,0.85,-0.74,0.73,360.68,374.28,-0.75,6.08
-0.03,1.01,-0.12,0.42,358.14,373.89,-2.03,4.72
-0.5,1.34,-0.56,0.69,356.03,372.42,-2.8,3.53
-0.32,0.95,-0.5,0.26,353.6,370.51,-2.7,3.17
-0.45,0.79,-0.68,0.4,351.92,369.64,-1.75,2.54
-0.23,0.63,0.04,0.07,350.38,368.45,-1.97,1.92
-0.42,1.53,-0.23,0.37,349.78,367.22,-2.43,1.83
-0.26,1.09,-0.31,0.45,350.22,367.17,-3.39,1.26
-0.44,0.93,-0.6,0.31,348.91,365.78,-3.32,1.01
-0.67,0.66,-0.53,0.1,346.94,364.53,-2.87,0.9
-0.31,0.87,-0.58,0.39,345.2,363.28,-1.85,0.78
-0.13,0.72,-0.42,0.04,342.8,362.59,-0.66,-0.12
-0.51,1.01,-0.31,0.01,340.53,361.67,-0.56,0.5
0.17,0.9,-0.74,0.48,338.02,360.2,-0.05,0.4
-0.37,1.15,-0.77,-0.4,335.66,359.14,0.65,0.97
0.04,1.41,-0.69,-0.23,334.06,358.57,0.96,1.01
-0.34,0.76,-0.58,0.53,331.74,357.61,1.42,1.76
-0.08,1.09,-0.56,0.28,329.97,355.98,0.53,2.13
0.09,0.85,-0.32,0.14,327.97,355.67,0.39,2.65
0.07,0.82,-0.64,-0.1,325.98,354.78,-0.06,2.46
-0.46,0.98,-0.23,-0.15,324.46,353.93,0.13,2.44
-0.07,0.98,-0.29,0.23,323.85,352.06,0.37,2.14
0.17,0.81,0.11,-0.1,323.67,352.14,0.27,1.24
0.09,0.9,-0.26,-0.01,324.36,351.35,0.33,1.31
0.2,1,-0.72,0.66,323.56,350.59,-0.31,0.11
-0.28,1.01,-0.4,0.28,323.68,349.72,-1.25,-0.41
-0.2,0.93,-0.3,0.25,324.01,349.5,-2.28,-1.12
-0.07,0.73,-0.23,-0.26,323.84,347.9,-2.31,-0.66
0.33,1.11,-0.61,0.07,322.58,347.55,-2.38,-1.05
0.27,1,-0.21,-0.2,322.21,347.08,-2.86,-0.7
-0.04,1.22,-0.18,0.12,321.52,346.05,-2.19,0.09
0.06,1.09,-0.32,0.04,320.42,346.1,-1.62,-0.27
-0.2,1.16,-0.69,0.09,319.61,344.58,-1.16,0.58
0.17,0.79,-0.69,0.12,318.53,344.28,0.17,0.03
0.38,1.11,-0.32,-0.13,316.65,343.27,0.77,0.35
0.17,0.84,-0.4,-0.1,315.43,342.75,1.31,-0.1
0.17,0.46,-0.61,0.09,314.98,342.37,1.5,-0.92
0.14,0.92,-0.16,-0.31,313.96,341.66,1.65,-0.97
-0.04,1.3,-0.38,-0.34,313.8,341.31,2.42,-0.2
0.07,0.84,-0.66,0.09,313.33,340.36,1.96,0.59
0.07,0.95,-0.46,-0.26,313.74,339.36,1.65,0.76
0.25,1.43,-0.43,-0.2,314.33,338.63,0.77,1.58
-0.39,0.94,-0.75,-0.28,314.36,338.03,0.65,1.72
0.12,1.11,-0.54,0.09,314.94,337.38,0.54,2.61
-0.25,1.15,-0.19,0.33,315.48,337.03,0.65,2.72
0.17,1.19,-0.13,-0.07,316.22,336.07,0.86,2.72
0.37,1.22,-0.41,-0.02,316.71,336,0.81,2.85
0.36,0.89,-0.2,-0.02,316.58,335.35,0.66,2.53
0.07,1.11,-0.63,0.11,316.87,334.98,0.71,2.85
0.04,1.27,-0.33,0.09,316.74,334.76,0.44,2.88
-0.02,1.26,-0.11,0.11,317.06,334,0.33,3.45
-0.48,0.51,-0.33,-0.13,316.69,333.22,0.11,3.99
0.2,0.91,0.05,-0.05,317.49,332.65,0.44,4.47
0.11,1.16,0.16,0.33,316.84,332.18,-0.2,5.17
0.14,1.7,0.45,0.17,317.15,331.81,0,6.74
0.54,1.1,0.46,0.09,317.47,331.67,0.41,7.01
-0.12,1.42,-0.53,0.3,317.4,331.13,-0.19,7.33
0.28,1.24,-0.43,-0.05,317.69,330.75,0.05,7.58
0.3,1.18,-0.46,0.22,318.44,330.53,0.39,7.2
-0.31,0.88,-0.27,0.19,319.62,329.78,0.2,7.02
0.44,0.88,-0.41,0.38,320.48,329.35,0.06,6.34
0.1,1.66,-0.28,0.3,321.14,329.21,0.11,6.53
0.09,0.99,-0.51,0.17,322.73,328.89,0.03,6.07
0.15,1.15,-0.52,-0.24,324.1,328.89,-0.33,5.95
0.49,1.1,-0.3,0.27,324.93,328.32,0.21,6.29
0.12,0.99,-0.3,0.02,326.01,328.27,-0.38,5.65
0.22,1.31,-0.76,-0.11,326.13,328.14,-0.65,5.74
0.44,0.99,-0.65,0,326.85,327.73,-0.49,5.17
0.47,1.23,-0.36,-0.19,327.74,328.36,-0.65,5.21
0.2,1.01,-0.41,0.28,328.12,328.28,-0.46,4.79
-0.07,1.04,-0.22,-0.14,328.33,327.47,-0.86,4.23
0.06,1.12,-0.2,-0.28,328.9,327.14,0.19,4.34
0.07,0.82,-0.6,0.13,329.11,327.12,0.17,3.93
-0.08,1.28,-0.13,0.11,329.28,326.47,0.31,4.02
0.59,0.71,-0.5,0.38,329.54,326.39,0.07,3.14
0.06,0.8,-0.44,-0.08,329.62,326.63,0.48,2.82
0.36,1.12,-0.74,0.32,330.73,325.93,0.4,2.76
0.14,1.12,-0.09,-0.38,330.97,326.2,0.54,2.19
