fp1,fp2
381.14,414.83
380.9,414.64
381.06,414.66
381.07,414.52
381.3,415.02
380.93,414.66
380.78,414.96
380.64,414.66
380.61,414.43
381.13,414.96
381.37,414.71
380.85,414.93
380.78,414.38
380.35,414.57
380.61,414.21
380.43,413.88
379.97,414.34
380.34,413.79
379.81,413.63
379.88,413.71
379.87,413.68
380.22,413.76
379.52,413.57
379.53,413.57
379.42,413.35
379.63,413.02
379.49,413.26
378.98,413.21
378.73,413.18
378.85,412.98
378.65,412.85
378.82,412.82
378.77,412.85
378.78,412.76
378.62,412.65
377.79,412.57
377.73,412.37
377.91,412.13
378.11,412.18
378.11,411.9
377.11,411.79
377.28,411.41
377.29,411.44
377.06,411.38
377.49,411.57
377.42,411.54
376.95,411.63
376.89,411.1
376.96,411.38
376.95,410.77
376.59,411.48
376.74,410.99
376.76,411.1
376.28,410.88
376.76,410.96
376.01,411.62
376.6,411.46
376.18,411.31
376.66,411.43
376.02,411.2
376.32,411.34
376.29,411.31
376.11,411.62
376.31,411.64
376.62,411.67
376.32,411.86
375.87,411.28
375.82,412.24
376.1,411.45
376.17,411.58
376.22,412.05
375.88,412.05
375.87,412.3
376,412.19
375.82,412.13
375.84,412.33
376.11,412.35
375.88,412.27
375.83,412.52
376.03,412.55
376.18,412.19
376.18,412.33
376.52,412.74
375.83,412.63
376.19,412.52
376.27,412.96
376.34,413.04
376.36,412.88
376.33,412.98
376.85,413.12
376.89,413.34
376.47,413.23
376.95,413.4
376.68,413.34
377.25,413.64
376.86,413.4
377.13,413.4
377.29,413.31
377.35,413.7
376.77,413.78
377.02,414.08
376.82,413.81
376.83,414
377.06,413.42
377.08,414.05
376.89,413.89
377.52,414.08
377.49,414.02
377.02,414
376.98,414.05
377.07,414.22
376.91,414.24
376.84,414
376.68,413.61
376.42,414.52
376.49,414.08
376.56,413.94
376.21,413.56
376.53,414.16
376.43,413.91
376.26,413.91
376.38,414.08
375.49,413.69
376.23,413.8
375.96,413.5
376.09,413.88
375.76,414.24
375.96,413.8
375.92,413.58
375.32,413.85
375.39,413.86
375.45,413.44
375.39,413.36
374.77,413.58
374.91,413.66
375.44,413.63
375.22,413.55
375.55,413.82
375.1,413.66
375.25,413.47
375.07,413.41
375.17,413.47
375.18,413.99
375.01,413.8
374.74,413.36
374.67,413.36
374.56,413.77
374.84,413.91
375.25,413.83
374.94,413.8
374.81,413.94
374.75,414.02
375.03,414.05
374.57,413.85
374.84,413.58
374.7,413.94
374.41,414.13
374.87,413.91
374.81,414.07
374.83,414.43
374.99,414.57
374.9,414.27
374.73,414.77
375.32,414.41
374.83,414.54
374.97,414.57
374.9,414.88
375.31,414.85
375.56,415.29
375.11,415.51
375.02,414.74
375.25,415.62
375.33,415.43
375.43,415.62
375.22,415.76
375.23,415.07
375.45,415.82
375.13,416.2
375.39,415.79
375.98,415.43
375.31,415.82
375.33,415.43
375.62,415.76
375.51,416.09
375.64,416.07
375.85,416.09
375.91,415.82
375.76,415.8
375.88,415.91
375.82,416.04
375.99,416.05
376.37,415.99
376.31,415.99
376.45,416.18
376.2,415.88
376.39,416.07
376.78,415.86
376.56,416.18
376.41,415.91
376.87,415.66
376.63,415.61
376.34,415.72
376.94,415.91
376.77,416.16
377.02,415.86
376.91,415.56
376.97,415.64
376.89,415.64
377.05,415.97
377.1,415.56
377.09,415.7
377.22,415.43
